Quality	#1 ID	#2 ID	#1 String	#2 String
0	702876	702977	I think the Commission can be a very good friend of Wales.	This is one area in which I believe the Commission can be a very great friend to Wales.
0	2108705	2108831	"Mr President, Commissioner, the regional policy of the European Union has so far been unable to interpret significantly the differences between the incomes of our inhabitants."	"Mr President, Commissioner, the European Union' s regional policy has, until now, not been able to interpret, in any significant way, the existing differences in our inhabitants' incomes."
0	1330381	1330521	"A system such as the current system, which is capable of making so few decisions, whether approvals or prohibitions, is less than a valid system."	"A system, such as the current one, which is capable of making so few decisions, be they approvals or prohibitions, is something less than a valid system."
0	3344667	3344648	"Consumers are losing their standard of living, poverty is spreading, and the public sector and the production base in most EU countries are dismantled and dissolved in the name of unfailing and catastrophic competition on behalf of consumers. the absolute market economy and the monopoly interests of large companies."	"Consumers see their standard of living being eroded, poverty spreading and the public sector and production base in most countries in the Union being dismantled and dissolved in the name of unadulterated and catastrophic competition, in the name of the absolute market economy and the promotion of the monopolistic interests of big business."
1	1236820	1236712	We do not want a unilateral deterioration of the conditions of competition prevailing in certain countries for the benefit of countries such as Austria or other transit regions.	We do not want a unilateral deterioration of the conditions of competition prevailing in certain countries for the benefit of countries such as Austria or other transit regions.
1	738533	737951	"That being said, if certain amendments, including those of the EPP parliamentary group, were approved, we would consider that the report would be flawed, that it would be a contradictory document, devoid of rigor, and that we would reconsider our support ."	"That said, if certain amendments, including those tabled by the EPP parliamentary group, were approved, we would consider that the report would be distorted, that it would be a contradictory document, devoid of rigor, and we would then reconsider our support ."
1	264589	264502	The interim evaluation of Article 42 of Regulation 1260/99 is therefore of considerable importance.	The interim evaluation of Article 42 of Regulation 1260/99 will therefore be of considerable importance.
0	579975	579810	Il devrait continuer dans cette voie.	It should continue along this path.
0	3114205	3114194	"In approving this amendment, we take into account the fact that it can be very cold in the north of the European Union."	"By approving this amendment, we take account of the fact that it can be very cold in the northern parts of the European Union."
1	222621	222514	They should avoid creating additional layers of bureaucracy and paperwork.	They should avoid creating additional layers of bureaucracy and paperwork.
1	3131772	3131625	"The Commission's report puts this fact into perspective, in particular when it refers to the socio-economic situation of certain regions of the Union which are particularly important for me: I am talking about the French overseas departments and, more generally, outermost regions. ."	"The report of the Commission puts this fact into perspective, in particular when it refers to the socio - economic situation of certain regions of the Union which are particularly important to me: I am referring to the French overseas departments and, more generally, outermost regions."
0	58747	58516	It would be a serious mistake to eliminate all public support.	It would be a serious mistake to eliminate all public aid.
1	1464126	1464107	"And the fact is that these priorities can contribute to better use, more effective use, as many of you would have hoped, of community interventions, including, Mr. Bradbourn, using, when the time comes, the reserve of performance, with the particular aim of encouraging the optimal and efficient use of European public funds."	"And the point is that these priorities can contribute to better use, more efficient use, as many of you have hoped, community interventions, including, Mr. Bradbourn, using, when the time comes the performance reserve, which has the particular objective of encouraging the optimal and efficient use of European public money."
0	771416	771467	You know that the roll-call vote or the electronic check only happens if members ask for it.	You know that voting by roll call or electronic checking only takes place if Members of the House request it.
1	142746	142671	"In terms of competition, the systemic change envisaged by the Commission is risky."	"In terms of competition, the systemic change envisaged by the Commission is risky."
0	1286053	1286069	"Le deuxième défi est celui de l'élargissement, qui aura bien sûr un impact considérable, tant sur le plan budgétaire que géographique."	"The second challenge is that of enlargement which will, of course, have a considerable impact, both in budgetary and geographical terms."
0	1563874	1563853	"Although the steel aid code is very clearly expressed, the Commission has authorized the granting to steel undertakings of aid not covered by the categories provided for by the Code."	"Although the Steel Aid Code is expressed in a very clear way, the Commission has authorised granting steel companies aid which is not covered by the categories stipulated by the Code."
1	2150265	2150184	We have been told how many people are wasted now and therefore a change could be beneficial.	"We were told how much people are wasted now and that, therefore, change could be beneficial."
1	2044342	2044457	"Many of you have raised points for inclusion in this second report on cohesion, and your rapporteur has mentioned a few."	Many of you have mentioned points that need to be included in this second report on cohesion and your rapporteur has touched on some of these points.
1	1284150	1284173	"In this respect, the requests arising from the opinions of the Committee on Legal Affairs and the Internal Market and the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs are fully taken into account."	"In this respect, the requests which emerge from the opinions of the Committee on Legal Affairs and the Internal Market and the Committee on Citizens' Freedoms and Rights, Justice and Home Affairs are fully taken into consideration."
1	3270389	3270327	"In addition, the von Wogau report, which has just been voted on by the European Parliament, encourages it in this respect."	"Moreover, the von Wogau report, which has just been voted on by the European Parliament, encourages it in this respect."
1	2294059	2294112	"For the iron and steel industry, the rules in force were introduced on 18 December 1996."	"For the iron and steel industry, the rules in force were introduced on 18 December 1996."
0	1713015	1712982	"I wish to reiterate my thanks to all the speakers and in particular to the rapporteur, Mr Koch."	"I would like to repeat my appreciation to all the speakers and especially to the rapporteur, Mr Koch."
1	1321918	1321644	"On the contrary, the idea of __a European Prosecutor is to limit States to a subordinate role in these matters."	"On the contrary, the idea of __a European public prosecutor is to limit the States to a subordinate role in these matters."
0	1239046	1239031	"However, the Commission's proposal does not take into account all the facts, such as the cold climate in the northern regions."	"The Commission' s proposal, however, does not take account of all the facts, such as the cold climate that prevails in the northern regions."
